name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
Saigon Asiana
",https://batdongsan.com.vn/can-ho-chung-cu-quan-6/saigon-asiana-pj4380,Công ty TNHH Gotec Việt Nam,"336/20 Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",4.017 m²,Quý III/2021,"
Đang thi công
",37 triệu/m²,"16 tầng, 299 căn hộ","10.7493057250977,106.635383605957",can-ho-chung-cu
"
The Landmark 81 - Vinhomes Central Park
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/the-landmark-81-vinhomes-central-park-pj4343,Tập đoàn Vingroup,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",141.200 m²,,"
Đã hoàn thành
",,"3 tầng hầm, 81 tầng nổi","10.7991323471069,106.719665527344",can-ho-chung-cu
"
Ascent Garden Homes
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/ascent-garden-homes-pj4340,Công ty CP Đầu tư Địa ốc Tiến Phát ,"Đường Bến Nghé, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.076 m²,Quý 4/2020,"
Đang thi công
",38 triệu/m²,600 căn hộ,"10.7629270553589,106.738227844238",can-ho-chung-cu
"
Đông Bắc Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-hoa-th/dong-bac-tower-pj4328,,"Đường Trường Thi, Phường Trường Thi, Thanh Hóa, Thanh Hóa",3.997 m²,,"
Đang thi công
",10 triệu/m²,281 căn và 8 lô liền kề,"19.8150997161865,105.781814575195",can-ho-chung-cu
"
C SkyView
",https://batdongsan.com.vn/can-ho-chung-cu-thu-dau-mot-bd/c-skyview-pj4325,,"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",8.600 m²,,"
Đang thi công
",,1.166 căn hộ,"10.9737367630005,106.665023803711",can-ho-chung-cu
"
Bcons Garden
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/bcons-garden-pj4336,,"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương",16.669 m²,,"
Đang thi công
",,1.834 căn hộ,"10.9047269821167,106.75171661377",can-ho-chung-cu
"
Dabaco Lý Thái Tổ
",https://batdongsan.com.vn/can-ho-chung-cu-bac-ninh-bn/dabaco-ly-thai-to-pj4331,Công ty CP Tập đoàn Dabaco Việt Nam,"Đường Lý Thái Tổ, Phường Võ Cường, Bắc Ninh, Bắc Ninh",6.025 m²,Quý 3/2019,"
Đang thi công
",,288 căn,"21.168041229248,106.055198669434",can-ho-chung-cu
"
Charm City
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/charm-city-pj4345,Công ty TNHH DCT Partner Việt Nam,"Đường ĐT 743C, Dĩ An, Bình Dương",50.070 m²,,"
Đang thi công
",,2.047 căn hộ,"10.8987321853638,106.740768432617",can-ho-chung-cu
"
Central Officetel
",https://batdongsan.com.vn/can-ho-chung-cu-phu-nhuan/central-officetel-pj4344,,"45 Đường Bùi Văn Thêm, Phường 9, Phú Nhuận, Hồ Chí Minh",1.558 m²,Quý 1/2021,"
Đang thi công
",,180 căn officetel,"10.8075294494629,106.678100585938",can-ho-chung-cu
"
Biconsi Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thu-dau-mot-bd/biconsi-tower-pj4368,Công ty CP Xây dựng Tư vấn Đầu tư Bình Dương (BICONSI),"1 Đường Phú Lợi, Phường Phú Lợi, Thủ Dầu Một, Bình Dương",7.985 m²,,"
Đang thi công
",,21 tầng,"10.9879360198975,106.692672729492",can-ho-chung-cu
"
Ruby Tower Thanh Hóa
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-hoa-th/ruby-tower-thanh-hoa-pj4280,Công ty CP Đầu Tư Địa Ốc Cường Thịnh Phát,"Khu đô thị Xanh, Nam Trung Tâm, phường Lam Sơn, Đông Vệ, TP. Thanh Hoá",110.110 m²,,"
Đang cập nhật
",,474 căn hộ,"20.090747833252,105.386306762695",p2
"
Chung cư IEC Tứ Hiệp
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-tri/chung-cu-iec-tu-hiep-pj4310,,"Xã Tứ Hiệp, Thanh Trì, Hà Nội",21.015 m²,,"
Đang cập nhật
",,"3 tòa chung cư, 3 dãy liền kề","20.9461421966553,105.855453491211",p2
"
Golden Land 5
",https://batdongsan.com.vn/can-ho-chung-cu-ngo-quyen-hp/golden-land-5-pj4252,Công ty CP Đầu tư Dịch vụ Tài chính Hoàng Huy,"Phường Lạch Tray, Ngô Quyền, Hải Phòng",9.091 m²,,"
Đang thi công
",,1.456 căn hộ,"20.8467102050781,106.691772460938",p2
"
The Metropole Thủ Thiêm
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/the-metropole-thu-thiem-pj4246,,"Khu đô thị mới Thủ Thiêm, Quận 2, Hồ Chí Minh",76.000 m²,Năm 2021,"
Đang cập nhật
",,1.102 căn hộ,"10.7732954025269,106.716094970703",p2
"
Centennial
",https://batdongsan.com.vn/can-ho-chung-cu-quan-1/centennial-pj4241,,"Số 2 phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",3.558 m²,,"
Đang thi công
",,410 căn hộ,"10.7774658203125,106.707046508789",p2
"
D-Homme
",https://batdongsan.com.vn/can-ho-chung-cu-quan-6/d-homme-pj4251,,"765 đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",5.200 m²,Năm 2021,"
Đang thi công
",60 triệu/m²,497 căn hộ,"10.7552633285522,106.639366149902",p2
"
Thái Nguyên Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thai-nguyen-tn/thai-nguyen-tower-pj4277,,"Số 1 đường Nha Trang, Phường Trưng Vương, Thái Nguyên, Thái Nguyên",1.661 m²,Quý 4/2020,"
Đang thi công
",,"314 căn hộ ở, khách sạn và 9 căn shophouse","21.5961761474609,105.842971801758",p2
"
The Minato Residence
",https://batdongsan.com.vn/can-ho-chung-cu-le-chan-hp/the-minato-residence-pj4281,,"Phường Vĩnh Niệm, Lê Chân, Hải Phòng",12.600 m²,,"
Đang thi công
",,926 căn hộ,"20.8281536102295,106.691902160645",p2
"
Happy One Bình Dương
",https://batdongsan.com.vn/can-ho-chung-cu-thu-dau-mot-bd/happy-one-binh-duong-pj4305,Công ty CP Tập Đoàn Địa Ốc Vạn Xuân,"26 Đường Đại Lộ Bình Dương, Khu phố 7, Phường Phú Hòa, Thủ Dầu Một, Bình Dương",5.724 m²,,"
Đang thi công
",,497 căn hộ,"10.9652738571167,106.685920715332",p2
"
Marina Plaza
",https://batdongsan.com.vn/can-ho-chung-cu-long-xuyen-ag/marina-plaza-pj4307,,"Số 1 đường Trần Hưng Đạo, Phường Mỹ Bình, Long Xuyên, An Giang",30.211 m²,,"
Đang thi công
",,"305 căn hộ, 7 căn shophouse","10.3870801925659,105.433647155762",p2
"
Tháp Vạn Phúc 36T
",https://batdongsan.com.vn/can-ho-chung-cu-ha-dong/thap-van-phuc-36t-pj4186,,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",86.000 m²,,"
Đang cập nhật
",,1 tòa chung cư cao 36 tầng nổi và 3 tầng hầm,"20.978687286377,105.771797180176",p3
"
The Marq
",https://batdongsan.com.vn/can-ho-chung-cu-quan-1/the-marq-pj4205,,"29B đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",5.146 m²,,"
Đang thi công
",184.4 triệu/m²,2 block cao 26 tầng + 3 tầng hầm + 1 tầng lửng với 515 căn hộ,"10.7869567871094,106.698104858398",p3
"
Lux Riverview
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/lux-riverview-pj4188,Tập đoàn Đất Xanh,"Phố Trần Xuân Soạn, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",8.000 m²,Năm 2021-2022,"
Đang thi công
",25 triệu/m²,3 block cao 25 tầng với 769 căn hộ,"10.751823425293,106.709907531738",p3
"
Chung cư Golden Grand
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/chung-cu-golden-grand-pj4195,,"Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",4.991 m²,,"
Đang thi công
",,Tòa chung cư 12 tầng với 99 căn hộ,"10.7583618164063,106.764747619629",p3
"
Chung cư 158 Nguyễn Sơn
",https://batdongsan.com.vn/can-ho-chung-cu-long-bien/chung-cu-158-nguyen-son-pj4237,Công TNHH Bắc Chương Dương,"158 đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",8.000 m²,,"
Đang thi công
",33 triệu/m²,"1 tòa tháp thương mại văn phòng cho thuê, nhà ở và 48 căn liền kề cao cấp","21.0456924438477,105.880599975586",p3
"
Lancaster Luminaire
",https://batdongsan.com.vn/can-ho-chung-cu-dong-da/lancaster-luminaire-pj4225,Công ty CP Tân Phú Long,"1152 đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",6.056 m²,Quý 4/2020,"
Đang thi công
",,300 căn hộ,"21.0235824584961,105.805229187012",p3
"
Chung cư Trường Thành II
",https://batdongsan.com.vn/can-ho-chung-cu-vinh-na/chung-cu-truong-thanh-ii-pj4240,,"36 đường Nguyễn Kiệm, Phường Trường Thi, Vinh, Nghệ An",3.002 m²,Năm 2017,"
Đã hoàn thành
",,17 tầng,"18.6657390594482,105.698585510254",p3
"
Hausviva
",https://batdongsan.com.vn/can-ho-chung-cu-quan-9/hausviva-pj4221,EZ Land,"170 đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",28.000 m²,,"
Đang thi công
",23 triệu/m²,1.800 căn hộ,"10.8265390396118,106.818939208984",p3
"
Central Apartment Kinh Dương Vương
",https://batdongsan.com.vn/can-ho-chung-cu-binh-tan/central-apartment-kinh-duong-vuong-pj4235,,"Đường Kinh Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh",38.291 m²,,"
Đang thi công
",17 triệu/m²,"20 shophouse, 500 căn hộ","10.7343721389771,106.612739562988",p3
"
Smartel Signial
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/smartel-signial-pj4183,Công ty CP Đầu tư & Phát triển Bất động sản An Gia,"89 đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",63.000 m²,Năm 2021,"
Đang thi công
",,1.150 căn hộ,"10.7142066955566,106.737007141113",p3
"
Imperia Eden Park
",https://batdongsan.com.vn/can-ho-chung-cu-nam-tu-liem/imperia-eden-park-pj4145,,"Đường Lê Quang Đạo, Nam Từ Liêm, Hà Nội",206.337 m²,,"
Đang thi công
",30 triệu/m²,,"21.0122737884521,105.770805358887",p4
"
The Zei Mỹ Đình
",https://batdongsan.com.vn/can-ho-chung-cu-nam-tu-liem/the-zei-my-dinh-pj4142,,"Số 8 đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",7.700 m²,Quý I/2021,"
Đang thi công
",,891 căn hộ,"21.029411315918,105.768753051758",p4
"
Stown Gateway
",https://batdongsan.com.vn/can-ho-chung-cu-thuan-an-bd/stown-gateway-pj4164,Công ty CP Tecco Sài Gòn ,"Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",8.552 m²,,"
Đang thi công
",19 triệu/m²,989 căn hộ,"10.8775968551636,106.699783325195",p4
"
Chung cư Mường Thanh Gò Vấp
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/chung-cu-muong-thanh-go-vap-pj4158,Tập đoàn Mường Thanh,"Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh",29.000 m²,,"
Đang cập nhật
",,Hơn 1.000 căn hộ,"10.8478975296021,106.678817749023",p4
"
Chung cư 1050 Chu Văn An
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/chung-cu-1050-chu-van-an-pj4156,,"Đường Phan Chu Trinh, Phường 12, Bình Thạnh, Hồ Chí Minh",12.900 m²,,"
Đã hoàn thành
",,"2 block cao 20 tầng, 1.050 căn hộ","10.8026857376099,106.701904296875",p4
"
Chung cư The Legacy
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-xuan/chung-cu-the-legacy-pj4144,,"Số 106 Phố Ngụy Như Kon Tum, Thanh Xuân, Hà Nội",9.108 m²,,"
Đang mở bán
",,"2 tầng hầm, 1 tầng kỹ thuật và 24 tầng nổi","21.000560760498,105.802917480469",p4
"
Opal Boulevard
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/opal-boulevard-pj4134,,"18 Kha Vạn Cân, phường Bình An, thị xã Dĩ An, tỉnh Bình Dương",,Năm 2021,"
Đang thi công
",28 triệu/m²,Khoảng 1.446 căn hộ và 22 căn thương mại dịch vụ,"10.9067392349243,106.801963806152",p5
"
Tecco Vina Garden
",https://batdongsan.com.vn/can-ho-chung-cu-quan-9/tecco-vina-garden-pj4102,Công ty CP Tecco Sài Gòn ,"Phường Trường Thạnh, Quận 9, Hồ Chí Minh",32.594 m²,,"
Đang thi công
",21 triệu/m²,2 block chung cư và 1 block văn phòng,"10.8117523193359,106.832588195801",p5
"
Chung cư xây để ở dành cho cán bộ chiến sỹ công an TP. Hà Nội
",https://batdongsan.com.vn/can-ho-chung-cu-ha-dong/chung-cu-xay-de-o-danh-cho-can-bo-chien-sy-cong-an-tp-ha-noi-pj4111,,"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",1.429 m²,,"
Đang mở bán
",16.7 triệu/m²,"1 tòa chung cư cao 23 tầng, 2 tầng để xe","20.9753646850586,105.789375305176",p5
"
Chung cư BMC Lũy Bán Bích
",https://batdongsan.com.vn/can-ho-chung-cu-tan-phu/chung-cu-bmc-luy-ban-bich-pj4162,Công ty CP Đầu tư Kinh doanh Địa ốc Hưng Thịnh,"787 đường Lũy Bán Bích, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",34.734 m²,,"
Đang thi công
",28 triệu/m²,"1.819 căn hộ, 60 căn shophouse, 200 căn officetel","10.7768125534058,106.634208679199",p4
"
Masteri Parkland
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/masteri-parkland-pj4114,Công ty CP Ðịa ốc Thảo Ðiền,"628A Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",12.000 m²,,"
Đang mở bán
",55 triệu/m²,4 block cao 48 tầng,"10.8024129867554,106.745101928711",p5
"
Khu căn hộ và dịch vụ Phước Long
",https://batdongsan.com.vn/can-ho-chung-cu-nha-trang-kh/khu-can-ho-va-dich-vu-phuoc-long-pj4113,,"Đường Phước Long, Phường Phước Long , Nha Trang, Khánh Hòa",482.000 m²,,"
Đang cập nhật
",36 triệu/m²,1 tòa chung cư 35 tầng và 41 lô đất liền kề,"12.2169418334961,109.189765930176",p5
"
Căn hộ Terra Flora
",https://batdongsan.com.vn/can-ho-chung-cu-nhon-trach-dna/can-ho-terra-flora-pj4120,,"Xã Phú Hội, Nhơn Trạch, Đồng Nai",12.000 m²,,"
Đang mở bán
",16 triệu/m²,,"10.7287549972534,106.906349182129",p5
"
Unico Thăng Long
",https://batdongsan.com.vn/can-ho-chung-cu-ben-cat-bd/unico-thang-long-pj4117,,"Đường Quốc Lộ 13, Xã Tân Định, Bến Cát, Bình Dương",10.001 m²,,"
Đang mở bán
",18 triệu/m²,"2 block, 822 căn hộ","11.0605230331421,106.628540039063",p5
"
Riverpark Premier
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/riverpark-premier-pj4139,,"Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",14.509 m²,,"
Đang cập nhật
",,3 tòa nhà 13-22 tầng,"10.7214479446411,106.712219238281",p4
"
Chung cư Green Pearl Bắc Ninh
",https://batdongsan.com.vn/can-ho-chung-cu-bac-ninh-bn/chung-cu-green-pearl-bac-ninh-pj4131,,"Đường Lê Thái Tổ, Bắc Ninh, Bắc Ninh",,,"
Đang thi công
",20 triệu/m²,Tòa nhà gồm 2 tầng hầm và 29 tầng nổi,"21.168041229248,106.055198669434",p5
"
Chung cư 17 Phạm Hùng Vimefulland
",https://batdongsan.com.vn/can-ho-chung-cu-nam-tu-liem/chung-cu-17-pham-hung-vimefulland-pj4127,,"Đường Phạm Hùng, Nam Từ Liêm, Hà Nội",42.492 m²,,"
Đang thi công
",33 triệu/m²,3 tòa căn hộ và 58 ô liền kề,"21.0287113189697,105.779441833496",p5
"
AQH Riverside
",https://batdongsan.com.vn/can-ho-chung-cu-long-bien/aqh-riverside-pj4133,,"Phường Thượng Thanh, Long Biên, Hà Nội",6.925 m²,Quý II/2020,"
Đang thi công
",,378 căn,"21.065502166748,105.888313293457",p5
"
Căn hộ CT4 VCN Phước Hải
",https://batdongsan.com.vn/can-ho-chung-cu-nha-trang-kh/can-ho-ct4-vcn-phuoc-hai-pj4038,Công ty CP đầu tư VCN,"Đường 4, Khu đô thị VCN Phước Hải, Nha Trang, Khánh Hòa",,,"
Đang cập nhật
",,,"12.2381038665771,109.178581237793",p6
"
Victoria Garden
",https://batdongsan.com.vn/can-ho-chung-cu-binh-chanh/victoria-garden-pj4036,,"Phố Trần Đại Nghĩa, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh",7.000 m²,Quý III/2020,"
Đang thi công
",25 triệu/m²,"2 tòa nhà cao 30 tầng với 748 căn hộ, 4 căn penthouse","10.726146697998,106.592063903809",p6
"
Charmington Tamashi
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-khe-ddn/charmington-tamashi-pj4042,,"46 Đường Điện Biên Phủ, Phường Chính Gián, Thanh Khê, Đà Nẵng",14.614 m²,Quý IV/2019,"
Đang thi công
",,2 block cao 20 tầng,"16.0663223266602,108.205223083496",p6
"
Xuân Mai Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-hoa-th/xuan-mai-tower-pj4100,Công ty CP Đầu tư và Xây dựng Xuân Mai,"Phường Đông Hương, Thanh Hóa, Thanh Hóa",9.776 m²,,"
Đang thi công
",,3 tòa cao 24 tầng với 989 căn hộ,"19.8059425354004,105.793731689453",p6
"
Sadora Apartment
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/sadora-apartment-pj4049,Công ty CP Đầu tư Địa ốc Đại Quang Minh,"Đường Mai Chí Thọ, Quận 2, Hồ Chí Minh",17.806 m²,,"
Đang mở bán
",,4 block,"10.7823047637939,106.739677429199",p6
"
Chung cư C13 Bộ Quốc Phòng
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-xuan/chung-cu-c13-bo-quoc-phong-pj4050,Tổng Công ty Đầu tư phát triển nhà và đô thị Bộ Quốc Phòng ,"362 đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",29.133 m²,,"
Đang thi công
",15 triệu/m²,1 tòa chung cư và 3 dãy liền kề,"20.9887714385986,105.818031311035",p6
"
The View Riviera Point
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/the-view-riviera-point-pj4059,Công ty TNHH Keppel Land Việt Nam,"584 đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",127.000 m²,,"
Đang mở bán
",,3 block: 518 căn hộ,"10.7315397262573,106.731773376465",p6
"
Raemian Đông Thuận
",https://batdongsan.com.vn/can-ho-chung-cu-quan-12/raemian-dong-thuan-pj4063,Công Ty TNHH MTV Phát Triển Và Kinh Doanh Nhà,"Đường Nguyễn Văn Quá, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",33.000 m²,,"
Đang mở bán
",21 triệu/m²,2 block cao 15 tầng,"10.8300437927246,106.627143859863",p6
"
La Premier
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/la-premier-pj4077,Lotte Group,"Đường Võ Chí Công, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",16.000 m²,,"
Đang mở bán
",36 triệu/m²,2 block cao 24 tầng: 750 căn hộ và shophouse,"10.7671318054199,106.772346496582",p6
"
Chung cư C22 Bộ Công an
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/chung-cu-c22-bo-cong-an-pj4069,Tổng Công ty Đầu Tư và Phát Triển Nhà Hà Nội - Handico,"Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",4.073 m²,,"
Đang cập nhật
",18 triệu/m²,1 tòa nhà 29 tầng: 398 căn hộ,"21.0295677185059,105.791877746582",p6
"
Park Legend
",https://batdongsan.com.vn/can-ho-chung-cu-tan-binh/park-legend-pj4029,Công ty CP Xây dựng Công nghiệp ICC,"251 Đường Hoàng Văn Thụ, Tân Bình, Hồ Chí Minh",1.913 m²,,"
Đang thi công
",60 triệu/m²,,"10.8002595901489,106.665138244629",p7
"
Chung cư PCC1 Triều Khúc
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-xuan/chung-cu-pcc1-trieu-khuc-pj3956,Công ty CP Xây lắp Điện 1,"44 Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",,Quý III/2019,"
Đang thi công
",24 triệu/m²,"2 block cao 27 tầng, 3 tầng hầm, 1 khối nhà cao 3 tầng là trường mầm non","20.9855403900146,105.798942565918",p7
"
Chung cư K-Homes
",https://batdongsan.com.vn/can-ho-chung-cu-nha-trang-kh/chung-cu-k-homes-pj3975,,"Số 40, Đường 2/4, Phường Vĩnh Hải, Nha Trang, Khánh Hòa",1.407 m²,Quý IV/2019,"
Đang cập nhật
",,24 tầng,"12.2935247421265,109.186836242676",p7
"
M Landmark Residence
",https://batdongsan.com.vn/can-ho-chung-cu-hai-chau-ddn/m-landmark-residence-pj3948,Công ty CP Đầu tư Alphanam,"58 Đường Bạch Đằng, Phường  Hải Châu I, Hải Châu, Đà Nẵng",57.888 m²,2020,"
Đang cập nhật
",,"45 tầng, 4 tầng hầm, 224 căn hộ lưu trú, 288 căn hộ condotel","16.0680351257324,108.224853515625",p7
"
Sunshine City Sài Gòn
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/sunshine-city-sai-gon-pj3952,Công ty CP Tập đoàn Sunshine,"Đường Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh",99.175 m²,2021,"
Đang thi công
",,9 block cao từ 26 - 38 tầng,"10.7292356491089,106.729248046875",p7
"
Paris Hoàng Kim
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/paris-hoang-kim-pj4136,,"Phố Lương Định Của, Phường Bình Khánh, Quận 2, Hồ Chí Minh",,,"
Đang thi công
",,"2 toà tháp căn hộ cao 25 tầng, 416 căn hộ","10.7863912582397,106.731826782227",p4
"
Luxury Park Views
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/luxury-park-views-pj3984,,"Ô Đất D32, KĐTM Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",16.000 m²,,"
Đang mở bán
",,,"21.0261878967285,105.790992736816",p7
"
Tecco Bắc Ninh Complex
",https://batdongsan.com.vn/can-ho-chung-cu-bac-ninh-bn/tecco-bac-ninh-complex-pj4004,,"Đường Lê Thái Tổ, Phường Đại Phúc, Bắc Ninh, Bắc Ninh",5.648 m²,,"
Đang cập nhật
",,,"21.1769161224365,106.06941986084",p7
"
Metro Star
",https://batdongsan.com.vn/can-ho-chung-cu-quan-9/metro-star-pj4012,,"360 Đường Xa Lộ Hà Nội, Phường Phước Long A, Quận 9, Hồ Chí Minh",18.338 m²,2021,"
Đang thi công
",,2 tháp gồm 6 block cao 25-30 tầng,"10.8253345489502,106.760314941406",p7
"
Hausbelo
",https://batdongsan.com.vn/can-ho-chung-cu-quan-9/hausbelo-pj4014,,"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",13.333 m²,,"
Đang thi công
",27 triệu/m²,"3 block 15 tầng, 888 căn hộ","10.79993724823,106.792175292969",p7
"
Sunshine Golden River
",https://batdongsan.com.vn/can-ho-chung-cu-tay-ho/sunshine-golden-river-pj4027,Công ty CP Tập đoàn Sunshine,"Khu đô thị Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",9.004 m²,,"
Đang thi công
",,01 tòa chung cư cao 35 tầng và khu nhà 5 tầng với 60 căn biệt thự liền kề,"21.0786514282227,105.802612304688",p7
"
Đầm Sen Tower
",https://batdongsan.com.vn/can-ho-chung-cu-quan-11/dam-sen-tower-pj4153,Công ty CP Đầu tư Xây dựng Công trình 557,"Phường 5, Quận 11, Hồ Chí Minh",17.680 m²,,"
Đang thi công
",27 triệu/m²,"2 block cao 22 tầng, 890 căn hộ","10.7717428207397,106.64533996582",p4
"
Asiana Capella
",https://batdongsan.com.vn/can-ho-chung-cu-quan-6/asiana-capella-pj3888,Công ty TNHH Gotec Việt Nam,"184 Đường Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh",4.274 m²,Tháng 05/2021,"
Đang cập nhật
",30 triệu/m²,"19 tầng nổi, 2 tầng hầm, 1 tầng kỹ thuật mái","10.7396841049194,106.628089904785",p8
"
Căn hộ Citi Alto
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/can-ho-citi-alto-pj3946,Công ty Cổ phần Kiến Á,"Đường Nguyễn Thị Định, KĐT Cát Lái, Phường Cát Lái, Quận 2, Hồ Chí Minh",17.000 m²,,"
Đang cập nhật
",,2 block căn hộ cao 30 tầng và 2 block văn phòng cao 16 tầng,"10.7710762023926,106.786506652832",p8
"
Green Mark
",https://batdongsan.com.vn/can-ho-chung-cu-quan-12/green-mark-pj3936,Công ty TNHH Tư vấn và Kinh doanh nhà Đạt Gia,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",11.750 m²,,"
Đang cập nhật
",20 triệu/m²,751 căn hộ chung cư,"10.8762826919556,106.654800415039",p8
"
Chung cư Green City
",https://batdongsan.com.vn/can-ho-chung-cu-bac-giang-bg/chung-cu-green-city-pj3930,,"Đường Trần Quang Khải, Phường Thọ Xương, Bắc Giang, Bắc Giang",16.103 m²,quý IV/2019,"
Đang thi công
",13.5 triệu/m²,4 tòa chung cư cao 20 tầng,"21.2914352416992,106.198593139648",p8
"
Ramada by Wyndham Ha Long Bay view
",https://batdongsan.com.vn/can-ho-chung-cu-ha-long-qni/ramada-by-wyndham-ha-long-bay-view-pj3938,Công ty CP Đầu tư Lạc Hồng,"Đường Nguyễn Hiền, Phường Trần Hưng Đạo, Hạ Long, Quảng Ninh",23.000 m²,Quý III/2019,"
Đang thi công
",,33 tầng gồm 1 tầng hầm và 4 tầng thương mại dịch vụ,"20.956937789917,107.08145904541",p8
"
The Peak
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/the-peak-pj3880,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Lô M8, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Hồ Chí Minh",22.729 m²,Quý IV/2021,"
Đang cập nhật
",,"8 tòa nhà, 981 căn hộ","10.7316341400146,106.715637207031",p8
"
Tecco Camelia Complex Thịnh Đán
",https://batdongsan.com.vn/can-ho-chung-cu-thai-nguyen-tn/tecco-camelia-complex-thinh-dan-pj3905,Công ty CP Đầu tư Xây dựng và Ứng dụng Công nghệ mới (TECCO),"Đường Quang Trung, Phường Thịnh Đán, Thái Nguyên, Thái Nguyên",21.000 m²,,"
Đang thi công
",12 triệu/m²,6 tòa chung cư cao 32 tầng và 3 tầng hầm,"21.5761661529541,105.813529968262",p8
"
The Grand Manhattan
",https://batdongsan.com.vn/can-ho-chung-cu-quan-1/the-grand-manhattan-pj3771,,"100 Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh",14.000 m²,,"
Đang thi công
",,,"10.7637195587158,106.694580078125",p9
